참여자 (419),1주차,2주차,3주차,4주차,5주차,6주차,7주차,8주차,9주차,10주차,11주차,12주차,13주차,14주차,15주차,참석율
RGunny,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
RealSong88,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,33.333333333333336
Rebwon,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,40.0
Resilient923,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,80.0
Ryureka,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
SJParkkk,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,80.0
SeongJae-dev,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
SeungWoo-Oh,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
ShimSeoungChul,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,80.0
So-Sung,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
SooJungDev,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
Sungjun-HQ,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
TaeYing,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
Taein2,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
UmJaeJeong,O,O,O,X,X,X,X,O,O,O,O,O,O,X,X,60.0
WonYong-Jang,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,73.33333333333333
Wordbe,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,13.333333333333334
Yadon079,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
YeseulDo,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
Yo0oN,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,80.0
Youngerjesus,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
Youngjin-KimY,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,33.333333333333336
YuSeungMo,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
ZhenxiKim,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,46.666666666666664
abcdsds,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,80.0
accidentlywoo,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,26.666666666666668
addadda15,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
ahyz0569,O,O,O,O,O,O,O,X,X,O,O,O,X,O,O,80.0
alweiis,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
angelatto,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
anna9001,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,20.0
asqwklop12,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
awesomeo184,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
azurealstn,O,O,O,X,X,O,X,O,O,O,O,X,O,X,X,60.0
bbq1319,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
binaryyoung,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,13.333333333333334
bingbingpa,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
binghe819,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
bjsloveer,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
blingbn,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
bomingeem,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,6.666666666666667
bong6981,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
boraborason,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
bperhaps,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
castleCircle,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X,53.333333333333336
catsbi,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
cattaku,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
cellenar26,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
chaechae0322,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,33.333333333333336
chaejunlee,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
chlaudeh,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,53.333333333333336
choiyoungkwon12,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,80.0
chulphan,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,80.0
ckr3453,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
clap1030,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,33.333333333333336
cmg1411,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
cocodori,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,40.0
cold-pumpkin,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
coldhoon,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
conyconydev,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
cs7998,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,80.0
d-h-k,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,60.0
dacapolife87,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
dadoldasol,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
damho1104,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
danheean,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
daroguzo,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
ddings73,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
delusidiot,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
dev-jaekkim,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,46.666666666666664
devHTak,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
devShLee7017,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,86.66666666666667
devksh930,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,40.0
devvip,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,80.0
dionidip,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
dip0cean,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
dkyou7,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
dmstjd1024,O,O,O,O,O,O,O,O,X,O,O,O,X,O,X,80.0
dongsub-joung,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
dongyeon94,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,86.66666666666667
doyoung0205,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
dsunni,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
dudqls5271,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
dwywdo,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
eatnows,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
ehdrhelr,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
eichel130,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,46.666666666666664
ejxzhn22,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,60.0
elon09,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,53.333333333333336
enothfif,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,6.666666666666667
eogh234,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,40.0
eomgr55,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
epark-grace,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
etff,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
eunbok,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
fkfkfk9,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,46.666666666666664
fpdjsns,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,60.0
garlickim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
gblee87,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,40.0
gcha-kim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
geneaky,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
ggomjae,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
ghYoon93,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
ghost,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,33.333333333333336
ghwann,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
gintire,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,66.66666666666667
githubjam2,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,60.0
giyeon95,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
glowing713,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,13.333333333333334
gmldnjs26,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
go95305,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
good-influence,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
goodzzong,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
gowoonsori,O,O,O,O,O,X,X,X,X,O,O,O,O,O,O,73.33333333333333
gtpe,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
gurumee92,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,26.666666666666668
haeinoh,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
haemanlee,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
haemin-jeong,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
haenyilee,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,20.0
hanseo0109,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
hanull,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,40.0
heewonham,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,86.66666666666667
herohe910623,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
hhlyn0328,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
hiYoungSeop,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,6.666666666666667
highright96,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
hippo420,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,6.666666666666667
hoi-hoon,O,O,O,O,X,X,O,O,O,O,O,O,O,O,X,80.0
hojunnnnn,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,93.33333333333333
hong918kr,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
hongminpark,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
honux77,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
hwonny,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
hyenny,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
hyeonic,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
hyngsk,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
hypernova1,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
ianstream,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
id6827,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
idiot2222,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,46.666666666666664
infoqoch,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,40.0
inhalin,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
integer87,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,20.0
inuit57,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
iseunghan,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,66.66666666666667
jadenkim94,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
jaeeunis,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,93.33333333333333
jaehyunup,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,20.0
jaewon0913,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
jaeyeon93,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
jameshan521,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,26.666666666666668
jangpanda,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,40.0
janjanee92,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
jbb9229,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
jeeneee,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
jessi68,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
jigmini,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,93.33333333333333
jikimee64,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
jiwoo-choi,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
jjone36,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,86.66666666666667
joey3116,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,80.0
jongnan,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
jongyeans,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,80.0
joowankim,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
juhee2,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
junhok82,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
justinnn980,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
jwsims1995,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,33.333333333333336
jymaeng95,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
k8440009,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,26.666666666666668
kdh9428,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,80.0
kdm8939,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
keunyop,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
kgc0120,O,O,X,O,O,O,O,O,O,X,O,O,O,X,X,73.33333333333333
kimdm1994,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
kimmy100b,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
kimseungki94,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
kimyuuum,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
kimzerovirus,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,6.666666666666667
kingsubin,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
kiss9815,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
kksb0831,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,20.0
kongduboo,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,73.33333333333333
koreas9408,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
ksj0109188,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,60.0
ksundong,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
ku-kim,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
kwakwoohyun,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
kwj1270,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
kys4548,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
kyu9,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
kyungjaejang,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,86.66666666666667
kyunyan,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
ldw1220,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
league3236,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,46.666666666666664
lee-jemu,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
lee-maru,O,O,O,O,O,X,O,O,O,O,O,O,X,O,X,80.0
lee82762,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,13.333333333333334
leeseowoo,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
leewoooo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
limyeonsoo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
lkimilhol,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
loop-study,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
loosie,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
m3252,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
manOfBackend,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
memoregoing,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
messi1913,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
metorg,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
mia0406,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,6.666666666666667
mimdong0917,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,6.666666666666667
minikuma,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,66.66666666666667
mintheon,O,O,O,X,O,O,X,O,O,O,O,O,X,O,O,80.0
minzzang,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,26.666666666666668
miok-jung,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,26.666666666666668
miseongshin,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
mkkim90,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
mokaim,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,26.666666666666668
mongzza,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
monkeyDugi,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,86.66666666666667
moo1o,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
morethanmin,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,80.0
msmn1729,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
myBabyGrand,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,80.0
n00nietzsche,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
nakyeonko,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,20.0
nekisse-lee,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
nhs0912,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
nimkoes,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,93.33333333333333
noah-standard,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
numuduwer,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,86.66666666666667
ohhhmycode,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,53.333333333333336
ohjoohyung,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,60.0
ohsg0226,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,26.666666666666668
oktopman,O,O,X,O,X,O,O,O,O,O,O,O,X,O,O,80.0
olivejua,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,33.333333333333336
osk2090,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,33.333333333333336
ows3090,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,93.33333333333333
pangnem,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
parker1609,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
parkhyunbin9,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,13.333333333333334
parksil0,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,100.0
pej4303,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,86.66666666666667
perm4,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.666666666666667
